icao24,initialclimbROC,initialclimbIAS,climFL150ROC,climFL150RIAS,climFL240ROC,climFL240IAS,cruiseFL,cruiseROC,cruiseTAS,cruiseMach,ApproachIAS,ApproachMCS,typecode,APC,RECAT-EU,WTC,TypeIATA
3c70a3,3500,175,2500,300,2000,300,420,1500,470,0.80,220,210,B752,C,Lower Heavy,M,L2J
3c70a4,3500,175,2500,300,2000,300,420,1500,470,0.80,220,210,B752,C,Lower Heavy,M,L2J
3c70a5,3500,175,2500,300,2000,300,420,1500,470,0.80,220,210,B752,C,Lower Heavy,M,L2J
3c70a7,3500,175,2500,300,2000,300,420,1500,470,0.80,220,210,B752,C,Lower Heavy,M,L2J
3c70a8,3500,175,2500,300,2000,300,420,1500,470,0.80,220,210,B752,C,Lower Heavy,M,L2J
3c70ab,3500,175,2500,300,2000,300,420,1500,470,0.80,220,210,B752,C,Lower Heavy,M,L2J
a008ed,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a009a4,2500,175,2000,290,1800,290,410,1000,450,0.79,225,210,A321,C,Upper Medium,M,L2J
a00ca4,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a00d5b,2500,175,2000,290,1800,290,410,1000,450,0.79,225,210,A321,C,Upper Medium,M,L2J
a00df9,2500,175,2000,290,1400,290,390,1000,450,0.79,250,210,A320,C,Upper Medium,M,L2J
a0105b,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a01112,2500,175,2000,290,1800,290,410,1000,450,0.79,225,210,A321,C,Upper Medium,M,L2J
a011ac,2500,175,2000,290,1400,290,390,1000,450,0.79,250,210,A320,C,Upper Medium,M,L2J
a01567,2500,175,2000,290,1400,290,390,1000,450,0.79,250,210,A320,C,Upper Medium,M,L2J
a01b80,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a01c37,2500,175,2000,290,1800,290,410,1000,450,0.79,225,210,A321,C,Upper Medium,M,L2J
a01f37,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a01fee,2500,175,2000,290,1800,290,410,1000,450,0.79,225,210,A321,C,Upper Medium,M,L2J
a022ee,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a026a5,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a02cb5,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a03423,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a037da,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a03b91,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a03f48,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a046b6,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a0480b,2500,175,2000,290,1400,290,390,1000,450,0.79,250,210,A320,C,Upper Medium,M,L2J
a04a6d,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a04bbe,2500,175,2000,290,1400,290,390,1000,450,0.79,250,210,A320,C,Upper Medium,M,L2J
a04edb,2500,175,2000,290,1800,290,410,1000,450,0.79,225,210,A321,C,Upper Medium,M,L2J
a04f75,2500,175,2000,290,1400,290,390,1000,450,0.79,250,210,A320,C,Upper Medium,M,L2J
a05582,3000,190,3200,290,2500,290,370,800,470,0.79,240,220,A306,C,Lower Heavy,H,L2J
a057eb,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a05939,3000,190,3200,290,2500,290,370,800,470,0.79,240,220,A306,C,Lower Heavy,H,L2J
a05a25,3500,175,2500,300,2000,300,420,1500,470,0.80,220,210,B752,C,Lower Heavy,M,L2J
a05c59,2500,175,2000,290,1800,290,410,1000,450,0.79,225,210,A321,C,Upper Medium,M,L2J
a05cf0,3000,190,3200,290,2500,290,370,800,470,0.79,240,220,A306,C,Lower Heavy,H,L2J
a05f59,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a06010,2500,175,2000,290,1800,290,410,1000,450,0.79,225,210,A321,C,Upper Medium,M,L2J
a0628f,2500,175,2000,290,1800,290,410,1000,450,0.79,225,210,A321,C,Upper Medium,M,L2J
a06310,3000,190,2500,290,2000,290,450,1000,460,0.80,230,220,B763,C,Lower Heavy,H,L2J
a0645e,3000,190,3200,290,2500,290,370,800,470,0.79,240,220,A306,C,Lower Heavy,H,L2J
